reference,from_native_xy_angle,to_native_xy_angle,from_side,to_side
TP6,"[-4.100802, -10.534644, 270.0]","[-0.845615, -18.213891, 0]",F,F
TP7,"[8.541522, -12.884265, 270.0]","[7.703226, -16.124292, 90]",F,F
TP8,"[13.379627, -11.350662, 0.0]","[13.642219, -13.824675, 180]",F,F
TP9,"[12.714649, -9.229588, 0.0]","[17.03928, -6.488488, 180]",F,F
TP10,"[-0.309886, 14.419041, 180.0]","[5.785486, 15.976724, 90]",F,F
TP11,"[-2.859443, 18.816654, 270.0]","[1.703666, 19.758703, 90]",F,F
TP12,"[-8.404359, 15.224191, 0.0]","[-7.263141, 18.532942, 180]",F,F
TP13,"[-10.528001, 13.700414, 90.0]","[-11.383978, 14.393995, 90]",F,F
TP14,"[-18.796525, 6.003544, 180.0]","[-15.193382, 11.45178, 180]",F,F
TP15,"[-17.382041, -0.759917, 0.0]","[-15.950006, 2.103333, 90]",F,F
TP16,"[-16.878992, -3.908208, 180.0]","[-18.998848, -3.361877, 270]",F,F
U1,"[7.728202, -6.58957, 0.0]","[6.301448, -3.359246, 90]",F,F
U2,"[-15.974881, -8.459799, 180.0]","[-15.93676, -6.0078, 180]",F,F
U3,"[4.648505, 13.888074, 90.0]","[1.69527, -15.311837, 90]",F,F
U4,"[10.105463, -12.411328, 0.0]","[10.725323, -10.087789, 0]",B,F
U5,"[-1.168351, 15.064739, 90.0]","[-4.198999, 16.001796, 0]",B,F
U6,"[-11.496466, 7.350217, 0.0]","[-11.502673, 7.349061, 0]",F,F
Y1,"[-5.391298, 0.68593, 90.0]","[-6.925199, -1.997404, 90]",F,F
