Reference,Value,MPN,Footprint,Side,Status
R24,100K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,B,fitted-draft
R25,330R,RC0402FR-07330RL,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
R26,2.2k,RC0402FR-072K2L,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
R27,33m 1% 0.5W,ERJ-6BWFR033V,T8:ERJ6BW_0805,F,fitted-draft
R28,5.1M gate discharge,RC0402FR-075M1L,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
R29,5.1M gate discharge,RC0402FR-075M1L,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
TP3,TESTPOINTROUND1.5MMNO,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP4,TESTPOINTROUND1.5MMNO,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP5,TESTPOINTROUND1.5MMNO,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP6,TESTPOINTROUND1.5MMNO,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP7,~{RESET},,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP8,GND,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP9,+3V3,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP10,VAMP,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP11,VBAT,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP12,I2S_DIN,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP13,I2S_BCLK,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP14,I2S_LRCLK,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP15,AMP_MUTE,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
TP16,POWER,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only
U1,W25Q16JVUXIQ TR / 2MB,W25Q16JVUXIQ TR,T8:Winbond_USON8_UX_2x3,F,fitted-draft
U2,RT9080-3.3,,Adafruit Feather RP2040 Prop-Maker-import-fps:SOT23-5,F,fitted-draft
U3,MCP73831T-2ACI/OT,,Adafruit Feather RP2040 Prop-Maker-import-fps:SOT23-5,F,fitted-draft
U4,MAX98357A,,Adafruit Feather RP2040 Prop-Maker-import-fps:QFN16_3MM,B,fitted-draft
U5,TPS61023DRLR,TPS61023DRLR,Adafruit TPS61023-import-fps:SOT563,B,fitted-draft
U6,BQ29700DSER,BQ29700DSER,T8:BQ29700_DSE6,F,fitted-draft
X6,USB Type C,,Adafruit Feather RP2040 Prop-Maker-import-fps:USB_C_CUSB31-CFM2AX-01-X,F,fitted-draft
Y1,12MHz/12pF,,Adafruit Feather RP2040 Prop-Maker-import-fps:CRYSTAL_2.5X2,F,fitted-draft
